SMILES,is_valid
c1ccc2c3c([nH]c2c1)CCNC3,True
O=C1Nc2ccccc2C12OCCCO2,True
COc1nc(Cl)cnc1NS(=O)(=O)c1cccc2c(N(C)C)cccc12,True
COc1cc(CC(C)N)c(OC)cc1I,True
NCCc1c[nH]c2ccccc12,True
NCC(=O)N[C@@H](CCCN=C(N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N1CCC[C@H]1C(=O)O,True
COc1ccc2[nH]c3c(c2c1)CCNC3,True
Cc1noc(NS(=O)(=O)c2cccc3c(N(C)C)cccc23)c1C,True
CN(C)c1cccc2c(S(=O)(=O)Nc3cnccn3)cccc12,True
COc1nc(Br)cnc1NS(=O)(=O)c1cccc2c(N(C)C)cccc12,True
CC(N)Cc1ccccc1,True
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,True
O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],True
CN1CCN2c3ccccc3Cc3ccccc3C2C1,True
CC(N)Cc1ccc2c(c1)OCO2,True
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1I,True
Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,True
CN(C)c1cccc2c(S(=O)(=O)Nc3ccccn3)cccc12,True
CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,True
CN(C)CCCN1c2ccccc2CCc2ccccc21,True
O=C1Nc2ccccc2C12OCCO2,True
CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,True
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,True
O=C1N(Cc2ccccc2)c2ccccc2C12OCCO2,True
Cc1ccc2c(c1)C1(OCCO1)C(=O)N2,True
Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,True
Clc1ccc(C2CC3CCC2N3)cn1,True
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3OC1CC(N)C(O)C(C)O1,True
c1ccc2oc(C3=NCCN3)cc2c1,True
CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,True
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,True
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(N=[N+]=[N-])ccc1-2,True
O=C1Nc2ccc(Br)cc2C12OCCO2,True
COCCc1ccc(OCC(O)CNC(C)C)cc1,True
NCCc1ccc(S(N)(=O)=O)cc1,True
C=CCc1ccccc1OCC(O)CNC(C)C,True
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Nc2ccc(O)cc2)C(C)(C)CCC1,True
CC1(C)Oc2ccc3ccc(=O)oc3c2[C@@H](OC(=O)C23CCC(C)(C(=O)O2)C3(C)C)[C@H]1OC(=O)C12CCC(C)(C(=O)O1)C2(C)C,True
CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,True
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,True
CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)C(N)c3ccccc3)[C@H]2SC1,True
Nc1nccc(Nc2ccc(S(N)(=O)=O)cc2)n1,True
CNC1(C)C2CCC(C2)C1(C)C,True
NS(=O)(=O)c1nc2ccc(O)cc2s1,True
C[N+](C)(C)CCOC(N)=O.[Cl-],True
CN1Cc2c(C(=O)OC(C)(C)C)ncn2-c2ccsc2C1=O,True
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,True
CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,True
C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,True
Nc1ccc(S(=O)(=O)Nc2ccc(S(N)(=O)=O)cc2)cc1,True
Nc1ccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1,True
O=C1Nc2ccccc2C12OCCS2,True
NS(=O)(=O)c1ccc(C(=O)O)cc1,True
CN(N=O)c1ccccc1,True
CN(N=O)c1cc(O)ccc1O,True
Nc1ccccc1S(N)(=O)=O,True
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,True
CCNC1C2CCC(C2)C1c1ccccc1,True
CC(C)[C@H]1C(=O)N[C@H](CO)Cc2ccccc2N1C,True
COC(=O)C1=CCCN(C)C1,True
CCOC(=O)c1cccc(N2C(N)=NC(N)=NC2(C)C)c1,True
Nc1nc(N)c2cc(S(=O)(=O)c3ccc4ccccc4c3)ccc2n1,True
COc1c2occc2cc2ccc(=O)oc12,True
COc1cccc(N2C(N)=NC(N)=NC2(C)C)c1,True
NS(=O)(=O)c1cccc2cccnc12,True
CCNC1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,True
NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,True
COc1ccc(N2C(N)=NC(N)=NC2(C)C)cc1,True
COc1cc(CC(C)N)c(OC)cc1Br,True
