SMILES,is_valid
O=C1O/C(=C/Br)CCC1c1cccc2ccccc12,True
COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,True
CN1CCC[C@H]1c1cccnc1,True
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,True
CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,True
O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,True
CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1c(SCc2ccc(F)cc2)nc(=O)c2c1CCC2,True
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,True
COc1cc(C(=O)N2CCN(C(=O)c3cc(OC)c(OC)c(OC)c3)CC2)cc(OC)c1OC,True
CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,True
CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2)CC1,True
C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,True
CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1,True
Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21,True
CNn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,True
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,True
C1=C(c2ccccc2)CCNC1,True
C[N+]1([O-])CC=C(c2ccccc2)CC1,True
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,True
C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,True
c1ccc(-c2nc3n(c2-c2ccc4c(c2)OCO4)CCC3)nc1,True
Fc1ccc(-c2c(-c3ccncc3)nc3n2CCS3)cc1,True
Cc1ccc(Sc2cncc3sc(C(N)=O)cc23)cc1,True
COc1ccc2sc(C(N)=O)c(OC(C)C)c2c1,True
NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,True
COc1ccc2c(c1)[nH]c1c(C)nccc12,True
CN(C(=O)[C@H](Cc1ccc(CN)cc1)NS(=O)(=O)c1ccc2ccccc2c1)C1CCCC1,True
CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,True
Cn1c2c(c3ccccc31)CCNCC2,True
c1ccc2c3c([nH]c2c1)CNCC3,True
CC1OC(n2cc(F)c(=O)[nH]c2=O)C(O)C1O,True
